Service,Converted by our team,ARM Namespace,Spec Folder,.Net,Java,Python,JS,GO,tspconfig,SpecApiVersion,SdkFolder,SdkApiVersion,SdkPr,Comment
Azure Storage Actions,Yes,Microsoft.StorageActions,storageactions,Done,AlreadyTypeSpec,Released,Released,Released,,,,,,
Bing Search APIs,Yes,Microsoft.Bing,bing,NotStarted,NO_SPEC,NotStarted,NotStarted,NotStarted,,,,,,Microsoft.Bing not found in specs repo
Reservations RP,Yes,Microsoft.BillingBenefits,billingbenefits,Done,Done,NotStarted,NotStarted,NotStarted,specification/billingbenefits/BillingBenefits.Management/tspconfig.yaml,2024-11-01-preview,sdk/billingbenefits/azure-resourcemanager-billingbenefits,2022-11-01,https://github.com/Azure/azure-sdk-for-java/pull/48248,
Azure Device Provisioning Service,Yes,Microsoft.Devices,deviceprovisioningservices,Done,AlreadyTypeSpec,Released,Released,Released,,,,,,
Azure DNS Public Zones,Yes,Microsoft.Network,dns,,Done,Released,NotStarted,ToRelease,,,,,,
Azure Edge Hardware Center,Yes,Microsoft.EdgeOrder,edgeorder,Done,Done,Released,NotStarted,NotStarted,specification/edgeorder/resource-manager/Microsoft.EdgeOrder/EdgeOrder/tspconfig.yaml,2024-02-01,sdk/edgeorder/azure-resourcemanager-edgeorder,2021-12-01,https://github.com/Azure/azure-sdk-for-java/pull/48244,
SRP,Yes,Microsoft.ElasticSan,elasticsan,Done,AlreadyTypeSpec,Released,Released,Released,,,,,,
Azure Automanage,Yes,Microsoft.GuestConfiguration,guestconfiguration,Done,Done,Released,NotStarted,NotStarted,specification/guestconfiguration/resource-manager/Microsoft.GuestConfiguration/Assignments/tspconfig.yaml,2024-04-05,,not_released,https://github.com/Azure/azure-sdk-for-java/pull/48237,
Azure Dedicated HSM,Yes,Microsoft.HardwareSecurityModules,hardwaresecuritymodules,Done,AlreadyTypeSpec,Released,Released,Released,,,,,,
Microsoft Diagnostics RP,Yes,Microsoft.Help,help,Done,Released,Released,NotStarted,Released,specification/help/resource-manager/Microsoft.Help/Help/tspconfig.yaml,2024-03-01-preview,sdk/selfhelp/azure-resourcemanager-selfhelp,2024-03-01-preview,https://github.com/Azure/azure-sdk-for-java/pull/48195,
Kubernetes Connect Service,Yes,Microsoft.Kubernetes,hybridkubernetes,Done,Done,NotStarted,NotStarted,ToRelease,specification/hybridkubernetes/HybridKubernetes.Management/tspconfig.yaml,2025-12-01-preview,sdk/hybridkubernetes/azure-resourcemanager-hybridkubernetes,2024-12-01-preview,https://github.com/Azure/azure-sdk-for-java/pull/48245,
Planned Maintenance,Yes,Microsoft.Maintenance,maintenance,Done,Released,NotStarted,NotStarted,ToRelease,specification/maintenance/resource-manager/Microsoft.Maintenance/Maintenance/tspconfig.yaml,2023-10-01-preview,sdk/maintenance/azure-resourcemanager-maintenance,2023-10-01-preview,https://github.com/Azure/azure-sdk-for-java/pull/48216,
Azure Notification Hubs,Yes,Microsoft.NotificationHubs,notificationhubs,Done,Done,Released,NotStarted,ToRelease,specification/notificationhubs/resource-manager/Microsoft.NotificationHubs/NotificationHubs/tspconfig.yaml,2023-10-01-preview,sdk/notificationhubs/azure-resourcemanager-notificationhubs,2017-04-01,https://github.com/Azure/azure-sdk-for-java/pull/48239,Service break. Last GA lib released from 2017-04-01
